authorName,ISBN
Mark P. O. Morford,0195153448
Richard Bruce Wright,0002005018
Carlo D'Este,0060973129
Gina Bari Kolata,0374157065
E. J. W. Barber,0393045218
Amy Tan,0399135782
Robert Cowley,0425176428
Scott Turow,0671870432
David Cordingly,0679425608
Ann Beattie,074322678X
David Adams Richards,0771074670
Adam Lebor,080652121X
Sheila Heti,0887841740
R. J. Kaiser,1552041778
Jack Canfield,1558746218
Loren D. Estleman,1567407781
Robert Hendrickson,1575663937
Julia Oliver,1881320189
John Grisham,0440234743
Toni Morrison,0452264464
The Onion,0609804618
Celia Brooks Brown,1841721522
J. R. Parrish,1879384493
Mary-Kate &amp; Ashley Olsen,0061076031
Robynn Clairday,0439095026
Kathleen Duey,0689821166
Rich Shapero,0971880107
Michael Crichton,0345402871
C.S. Lewis,0684823802
ARTHUR PHILLIPS,0375759778
Stephan Jaramillo,0425163091
Mordecai Richler,3404921038
Eleanor Cooney,3442353866
Charlotte Link,3442410665
Richard North Patterson,3442446937
Mark Salzman,0375406328
Harper Lee,0446310786
LAURA HILLENBRAND,0449005615
Barbara Kingsolver,0060168013
Jo Dereske,038078243X
Jane Austen,055321215X
Dolores Krieger,067176537X
Anne Rivers Siddons,0061099686
Dean R. Koontz,0553582909
Mary Higgins Clark,0671888587
Dean Koontz,0553582747
Patricia Cornwell,0425182908
J.D. Robb,042518630X
Maeve Binchy,0440223571
Laura J. Mixon,0812523873
Tim Lahaye,0842342702
M.D. Bernie S. Siegel,0060914068
Robert Penn Warren,0156047624
Hans Johannes Hoefer,0245542957
Mark Helprin,0380715899
O. Carol Simonton Md,0553280333
Chuck Hill,0961769947
David Iglehart,0964778319
Larry McMurtry,0671623249
SUZANNE FISHER STAPLES,0679810307
SUZANNE FISHER STAPLES,0679865691
Michel Tournier,2070423204
Carl Sagan,0345260317
Aleksandr Zinoviev,0394743741
Anne Tyler,042511774X
Amy Tan,0804106304
Joseph Conrad,1853262404
Deepak Chopra,0312970242
Thomas Hardy,1853260053
Charles Noland,1414035004
Valerie Frankel,0060938412
Benjamin Hoff,0140067477
LAURA HILLENBRAND,0345465083
Niccolo Machiavelli,0451625889
H. Jackson Brown,1558531025
Robert A. Heinlein,0441783589
PHILIP PULLMAN,0394895894
Anna Sewell,1569871213
MICHAEL ONDAATJE,0375410538
Sandra Levy Ceren,0966986105
P.J. O'Rourke,087113375X
Mike Gayle,0340767936
Stel Pavlou,0743403843
Sarah Payne Stuart,0060930365
Dan Quayle,0060177586
Donald F. Kettl,0071416331
DAVID FRUM,0375509038
Louis Lamour,0553062042
J.D. Salinger,0316769487
J. R. R. Tolkien,8445071408
J. R. R. Tolkien,8445071769
J. R. R. Tolkien,8445071777
John Berendt,0679429220
Mary Higgins Clark,0671867156
Jennifer Crusie,0312252617
Jane Heller,0312261594
Michael Rips,0316748641
Simon Mawer,0316973742
William Abrahams,0385235941
Robert T. Kiyosaki,0446677450
Ken Follett,0451166892
John F. Love,0553347594
Robert G. Allen,0671621009
LOUIS DE BERNIERES,067976397X
Pam Proctor,0684822733
Mitch Albom,0786868716
Irene Gonzalez Frei,8472238822
Michael Jan Friedman,0671864769
Glendon Swarthout,0671521519
Neal Barrett Jr.,0440222303
David Morrell,0312953453
Sandra Brown,0446608653
James Patterson,0446612545
Sandra Brown,0446612618
Stuart Woods,0451208080
IRIS JOHANSEN,0553584383
Dan Brown,0671027360
Joe Hutsko,0812575954
Anita Shreve,0316735736
Ann Rule,0743439740
LEWIS GRIZZARD,0345372700
Paul Theroux,0380619458
Charles Hickey,0451406923
Stephen King,0671042858
Ben Mezrich,0743249992
Bill Hand,0840734530
Tom Clancy,0425184226
DANA REEVE,0375500766
Roy,9724119378
Barbara Metzger,0451205197
Gabriel Garcia Marquez,0060929790
Rebecca Wells,0060976845
Tony Hillerman,0061099325
Mary Higgins Clark,0671004573
Robert James Waller,0446601640
Rachel Harris,0330484516
IAN MCEWAN,038572179X
Michael Lewis,0393020371
Richard Zimler,1900850303
Norman Jetmundsen,1903019699
Lorenzo Carcaterra,0345425294
Anne Frasier,0451410319
Kay Hooper,0553583468
Soren Kierkegaard,8420639133
Jose Ortega Y Gaset,8476409419
Daphne Du Maurier,0380778556
Nathaniel Hawthorne,0451525221
Nick Page,0002740230
Laura Wolf,0385336772
LOIS DUNCAN,0440949424
Susan Grant,0505524996
Barbara Vine,0140252800
